title,description,variations,pricePerVariation,stockPerVariation,imageUrls
212 - Carolina Herrera,"""Genero: Dama ; Usos recomendados: Diario / Oficina / Verano ; Familia: Floral ; Subfamilia(s): Floral amaderado ; Descripción: 🌸 212 es fresca, elegante y moderna. Con flores blancas y notas verdes, transmite limpieza y energía para usar todos los días. ; Metadata: 212 Woman es una fragancia floral–verde con flor de azahar, gardenia, almizcle blanco y sándalo. Representa espontaneidad y elegancia urbana, ideal para día, oficina o clima cálido. Su estela es suave, limpia y femenina. Palabras clave: 212 woman, carolina herrera, floral, verde, limpio, fresco, diario, elegante, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMT99OTO329CM.png
212 Heroes - Carolina Herrera,"""Genero: Caballero ; Usos recomendados: Casual / Diario / Verano ; Familia: Fougère ; Subfamilia(s): Aromático amaderado ; Descripción: ⚡ 212 Heroes tiene un aroma juvenil y moderno, con notas frutales y amaderadas. Perfecto para el día a día, proyecta libertad y frescura. ; Metadata: Fragancia aromática amaderada con pera, jengibre, cuero y almizcle. Su composición refleja energía y autenticidad, pensada para hombres libres y creativos. Ideal para uso casual, diario o climas templados, con una estela media y carácter contemporáneo. Palabras clave: 212 heroes, carolina herrera, frutal, cuero, jengibre, aromático, fresco, moderno, juvenil, casual, libre, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTCMNX4JIE1K.png
212 VIP Black - Carolina Herrera,"""Genero: Caballero ; Usos recomendados: Fiesta / Noche / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: 🕶 212 VIP Black es audaz y magnética. Mezcla absenta, lavanda y vainilla para un aroma dulce, moderno y seductor. ; Metadata: 212 VIP Black es una fragancia oriental–especiada con absenta, lavanda, anís negro, vainilla y almizcle. Representa misterio y energía nocturna, ideal para citas, fiestas o ambientes elegantes. Su estela es dulce y envolvente. Palabras clave: 212 vip black, carolina herrera, absenta, lavanda, vainilla, dulce, cálido, moderno, seductor, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTDRKCXKXFC9.png
212 VIP Men - Carolina Herrera,"""Genero: Caballero ; Usos recomendados: Noche / Fiesta / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: 🕺 212 VIP Men es energía pura y estilo moderno. Tiene un aroma dulce con ron, cuero y especias, ideal para noches de fiesta o momentos especiales. ; Metadata: Fragancia oriental amaderada con una mezcla audaz de ron, maracuyá, cuero y pimienta negra. Representa lujo y juventud, perfecta para noches, fiestas y eventos sociales. Su carácter magnético la hace destacar por su proyección intensa y aroma adictivo. Palabras clave: 212 vip men, carolina herrera, oriental, ron, cuero, especiado, dulce, moderno, fiesta, noche, masculino, magnético, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTG61C5FG3QT.png
212 VIP Rosé - Carolina Herrera,"""Genero: Dama ; Usos recomendados: Fiesta / Verano / Casual ; Familia: Floral ; Subfamilia(s): Floral frutal ; Descripción: 🥂 212 VIP Rosé es chispeante, moderna y femenina. Con champaña rosada y flores suaves, es perfecta para el día o eventos sociales. ; Metadata: 212 VIP Rosé es una fragancia floral–afrutada con champaña rosada, flor de durazno, almizcle y ámbar. Transmite alegría, elegancia y glamour natural, ideal para verano, brunch o reuniones sociales. Su estela es fresca y sofisticada. Palabras clave: 212 vip rosé, carolina herrera, champaña, durazno, floral, afrutado, elegante, moderno, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTHTKW822UMW.png
9PM - Afnan,"""Genero: Caballero ; Usos recomendados: Fiesta / Noche / Citas ; Familia: Gourmand ; Subfamilia(s): Oriental avainillado ; Descripción: 🌙 9PM es dulce, moderna y adictiva. Combina vainilla, canela y manzana para un aroma juvenil y seductor. ; Metadata: 9PM de Afnan es una fragancia oriental–gourmand con manzana, canela, lavanda, vainilla y tonka bean. Evoca energía nocturna y sensualidad, ideal para citas, fiestas o climas fríos. Su estela es intensa y su fijación excelente. Palabras clave: 9pm, afnan, vainilla, canela, manzana, dulce, cálido, moderno, nocturno, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTIX07H35TC6.png
Acqua di Giò - Giorgio Armani,"""Genero: Caballero ; Usos recomendados: Diario / Oficina / Verano ; Familia: Acuática / Marina ; Subfamilia(s): Acuático aromático ; Descripción: 🌊 Acqua di Giò es sinónimo de frescura y elegancia. Un aroma limpio con notas marinas y cítricas, ideal para el día o la oficina. ; Metadata: Ícono de la perfumería masculina. Mezcla bergamota, jazmín, mandarina, romero y almizcle marino. Transmite pureza, elegancia y calma, siendo perfecta para uso diario, climas cálidos o contextos formales. Su estela es fresca, natural y refinada. Palabras clave: acqua di gio, giorgio armani, marino, cítrico, limpio, fresco, diario, oficina, elegante, clásico, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTJOYKYGQZ4O.png
Acqua di Giò Profondo - Giorgio Armani,"""Genero: Caballero ; Usos recomendados: Diario / Oficina / Verano ; Familia: Acuática / Marina ; Subfamilia(s): Acuático aromático ; Descripción: 🌌 Acqua di Giò Profondo es más intensa y elegante. Mantiene la frescura marina, pero con un fondo amaderado y profundo. ; Metadata: Variante moderna del clásico Acqua di Giò, con notas de bergamota, pachulí, romero, y almizcles minerales. Evoca profundidad y serenidad, ideal para oficina, eventos formales o uso nocturno. Su fijación es alta y su proyección refinada. Palabras clave: acqua di gio profondo, giorgio armani, marino, amaderado, pachulí, elegante, profundo, intenso, formal, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTKKG7GRM8MY.png
Althaïr - Parfums de Marly,"""Genero: Caballero ; Usos recomendados: Noche / Invierno / Citas ; Familia: Gourmand ; Subfamilia(s): Oriental avainillado ; Descripción: ✨ Althaïr es una vainilla bourbon moderna: dulce y cremosa pero con brillo cítrico/especiado, y un fondo almizclado–amaderado ultrasuave. Cálida, carismática y muy envolvente para noches, citas y otoño/invierno. ; Metadata: Oriental–avainillada con canela, cardamomo, flor de azahar y bergamota en la salida; corazón de vainilla bourbon y elemi; base de praliné, almizcle, ambroxan, madera de guayaco, tonka y almendra confitada. Firma: gourmand refinada, de gran duración y estela envolvente. Palabras clave: althaïr, parfums de marly, vainilla bourbon, canela, cardamomo, praliné, ambroxan, cálido, dulce, seductor, duradero, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTLF0WE70376.png
Amber Oud - Al Haramain,"""Genero: Unisex ; Usos recomendados: Noche / Invierno / Formal ; Familia: Oriental / Ámbar ; Subfamilia(s): Amaderado oud ; Descripción: 🕯 Amber Oud es ambarada, elegante y versátil. Con ámbar, vainilla y maderas, ofrece un equilibrio entre dulzura y frescura. ; Metadata: Amber Oud de Al Haramain es una fragancia oriental–amaderada con ámbar, vainilla, cedro, pachulí y almizcle blanco. Evoca lujo sutil y sofisticación clásica, ideal para día o noche. Palabras clave: amber oud, al haramain, ámbar, vainilla, amaderado, cálido, elegante, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTMV16N5OY7Q.png
Angel - Thierry Mugler,"""Genero: Dama ; Usos recomendados: Noche / Invierno / Fiesta ; Familia: Gourmand ; Subfamilia(s): Oriental gourmand ; Descripción: 💫 Angel es dulce, potente y adictiva. Con caramelo, chocolate y pachulí, es una fragancia inolvidable y con mucha personalidad. ; Metadata: Angel es una fragancia gourmand–oriental con caramelo, chocolate, miel, pachulí y vainilla. Fue pionera en el estilo dulce moderno, proyectando fuerza, sensualidad y confianza. Ideal para noche o invierno, con fijación altísima. Palabras clave: angel, thierry mugler, caramelo, pachulí, chocolate, dulce, cálido, intenso, clásico, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTOO7XP1IYV6.png
